year_born,X2021_before,X2021_after,X2022_before,X2022_after,X2023_before,X2023_after
1972,48,49,49,50,50,51
1973,47,48,48,49,49,50
1974,46,47,7,48,48,49
1975,45,46,46,47,47,48
1976,44,45,45,46,46,47
1977,43,44,44,45,45,46
1978,42,43,43,44,44,45
1979,41,42,42,43,43,44
1980,40,41,41,42,42,43
1981,39,40,40,41,41,42
1982,38,39,39,40,40,41
1983,37,38,38,39,39,40
1984,36,37,37,38,38,39
1985,35,36,36,37,37,38
1986,34,35,35,36,36,37
1987,33,34,34,35,35,36
1988,32,33,33,34,34,35
1989,31,32,32,33,33,34
1990,30,31,31,32,32,33
1991,29,30,30,31,31,32
1992,28,29,29,30,30,31
1993,27,28,28,29,29,30
1994,26,27,27,28,28,29
1995,25,26,26,27,28,29
1996,24,25,25,26,26,27
1997,23,24,24,25,25,26
1998,22,23,23,24,24,25
1999,21,22,22,23,23,24
2000,20,21,21,22,22,23
2001,19,20,20,21,21,22
2002,18,19,19,20,20,21
2003,17,18,18,19,19,20
2004,16,17,17,18,18,19
2005,15,16,16,17,17,18
2006,14,15,15,16,16,17
2007,13,14,14,15,15,16
2008,12,13,13,14,14,15
